# File: A_CCap_Constraint.csv,,,,,,,,,,,,,,,,,,,,,,,
# Title: Carbon caps for specific industries,,,,,,,,,,,,,,,,,,,,,,,
# Units: MTC,,,,,,,,,,,,,,,,,,,,,,,
# Comments: For linked regions (share same market/policy/constraint) only include the constraint for one region,,,,,,,,,,,,,,,,,,,,,,,
#  If using GDP intensity base year  in GDPIntensity_BaseYear column (must be historical year); then percent change in year columns,,,,,,,,,,,,,,,,,,,,,,,
# Column types: ccccciinnnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,,,
xml,market,ghgpolicy,link.type,mapping.name,year.fillout,GDPIntensity_BaseYear,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
policy_GHG_constraint_post2030_CP.xml,Indonesia,GHG,ALL_GHG,,,,,,,2015.428397,2327.588403,2622.305795,2902.401599,3168.412662,3420.233381,3663.002528,4039.653198,4395.297612,4724.527146,5069.781631,5385.248625,5670.084697,5950.121966
policy_GHG_constraint_post2030_CP.xml,Japan,GHG,ALL_GHG,,,,,,,918.6808185,828.2860217,741.3033748,661.9407578,588.5503456,526.0676635,475.2746422,430.409831,389.1100603,350.6744825,316.3609522,287.4504651,262.6795062,241.4360468
policy_GHG_constraint_post2030_CP.xml,Mexico,GHG,ALL_GHG,,,,,,,948.0313529,1041.584413,1128.635175,1213.540374,1296.924526,1374.171279,1444.454742,1555.622808,1666.126216,1768.753831,1868.247801,1956.429568,2036.444432,2122.809456
policy_GHG_constraint_post2030_CP.xml,Middle East,GHG,ALL_GHG,,,,,,,3641.649422,3970.430694,4259.859803,4517.666487,4755.540836,5000.741036,5283.734633,5595.615054,5903.934843,6232.456112,6591.0254,6968.216354,7322.107861,7703.447941
policy_GHG_constraint_post2030_CP.xml,Pakistan,GHG,ALL_GHG,,,,,,,781.6362066,1016.499739,1324.578704,1726.940951,2237.266753,2869.151732,3632.064097,4550.516222,5645.540213,6907.899251,8280.987247,9809.652628,11489.21114,13366.90037
policy_GHG_constraint_post2030_CP.xml,Russia,GHG,ALL_GHG,,,,,,,2578.514518,2674.509802,2735.141177,2773.887097,2787.608314,2829.131913,2933.64774,3065.017768,3188.958371,3315.151936,3435.499054,3573.502673,3699.829407,3844.410068
policy_GHG_constraint_post2030_CP.xml,South Africa,GHG,ALL_GHG,,,,,,,708.8895343,816.9039954,931.8374109,1044.926594,1167.930445,1303.786464,1447.190575,1573.783394,1705.197388,1847.825868,1995.66381,2129.35739,2261.151706,2396.984295
policy_GHG_constraint_post2030_CP.xml,South America_Northern,GHG,ALL_GHG,,,,,,,631.7101114,729.2892981,828.6575574,946.6003357,1084.244744,1237.633206,1399.402378,1562.236927,1734.937655,1928.261299,2117.107917,2281.070402,2441.558428,2603.580769
policy_GHG_constraint_post2030_CP.xml,South America_Southern,GHG,ALL_GHG,,,,,,,828.9586726,937.573156,1051.832668,1170.617719,1295.013172,1426.442066,1561.293006,1718.714124,1879.171527,2041.237043,2208.981906,2370.401946,2521.541735,2673.53664
policy_GHG_constraint_post2030_CP.xml,South Asia,GHG,ALL_GHG,,,,,,,795.5515145,998.9784216,1247.500388,1541.71795,1876.527676,2267.066196,2716.605086,3221.043672,3784.74032,4402.417935,5051.746907,5734.508674,6500.572328,7322.118289
policy_GHG_constraint_post2030_CP.xml,South Korea,GHG,ALL_GHG,,,,,,,688.2311965,651.1806797,596.5609003,539.3812535,481.5724412,431.5382587,381.8123275,346.6757382,312.2908901,277.3397902,246.3692836,222.2961788,197.3663441,178.5819302
policy_GHG_constraint_post2030_CP.xml,Southeast Asia,GHG,ALL_GHG,,,,,,,3928.477579,4624.444301,5380.233533,6208.413753,7088.458379,8041.21043,9074.604583,10214.27431,11424.38759,12676.87656,14034.65467,15453.06642,16928.48153,18483.77639
policy_GHG_constraint_post2030_CP.xml,Taiwan,GHG,ALL_GHG,,,,,,,492.1668842,526.7509276,557.5037713,580.0209293,592.6784437,597.4861878,601.7341925,625.8651821,649.4231834,669.920325,686.5245785,697.2452156,703.2212609,704.9265696
policy_GHG_constraint_post2030_CP.xml,USA,GHG,ALL_GHG,,,,,,,4951.589357,4693.516498,4393.179879,4107.780367,3836.848713,3585.356903,3341.351336,3074.727858,2809.83581,2554.61435,2328.343195,2126.682102,1944.044431,1785.768397
policy_GHG_constraint_2030_NDC.xml,Africa_Eastern,GHG,GHG_NO_LUC,,,,761.7990193,880.3181858,998.8373524,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC.xml,Africa_Northern,GHG,GHG_NO_LUC,,,,928.6628483,1045.671403,1162.679958,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC.xml,Africa_Southern,GHG,GHG_NO_LUC,,,,719.6157035,653.4103983,587.205093,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC.xml,Africa_Western,GHG,GHG_NO_LUC,,,,1524.886163,1455.233588,1385.581013,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC.xml,Argentina,GHG,GHG_NO_LUC,,,,454.8286777,401.9143388,349,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC.xml,Australia_NZ,GHG,GHG_NO_LUC,,,,756.8560406,559.4280203,362,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC.xml,Brazil,GHG,GHG_NO_LUC,,,,1689.550349,1432.775175,1176,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC.xml,Canada,GHG,GHG_NO_LUC,,,,556.2328906,497.1164453,438,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC.xml,Central America and Caribbean,GHG,GHG_NO_LUC,,,,382.9406223,359.8988001,336.8569778,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC.xml,Central Asia,GHG,GHG_NO_LUC,,,,777.9639614,807.5459166,837.1278718,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC.xml,China,CO2,CO2_FFI,,,,11889.25382,12026.30127,12163.34872,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC.xml,Colombia,GHG,GHG_NO_LUC,,,,245.350646,207.425323,169.5,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC.xml,EU,GHG,GHG_NO_LUC,,,,3688.88673,2995.443365,2302,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC.xml,Europe_Eastern,GHG,GHG_NO_LUC,,,,549.9109457,514.4554728,479,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC.xml,Europe_Non_EU,GHG,GHG_NO_LUC,,,,704.8070007,742.4035004,780,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC.xml,European Free Trade Association,GHG,GHG_NO_LUC,,,,561.7163082,436.8581541,312,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC.xml,India,GHG,GHG_NO_LUC,,,,4081.51297,4858.200248,5634.887525,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC.xml,Indonesia,GHG,GHG_NO_LUC,,,,1422.535839,1688.30587,1954.0759,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC.xml,Japan,GHG,GHG_NO_LUC,,,,1254.795845,1007.397923,760,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC.xml,Mexico,GHG,GHG_NO_LUC,,,,789.6861138,716.8430569,644,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC.xml,Middle East,GHG,GHG_NO_LUC,,,,2975.848582,2790.188322,2604.528063,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC.xml,Russia,GHG,GHG_NO_LUC,,,,2393.022665,2432.511332,2472,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC.xml,South Africa,GHG,GHG_NO_LUC,,,,602.0734092,551.0367046,500,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC.xml,South America_Southern,GHG,GHG_NO_LUC,,,,643.7704176,561.6514076,479.5323977,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC.xml,South Asia,GHG,GHG_NO_LUC,,,,469.4256244,526.1401942,582.854764,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC.xml,South Korea,GHG,GHG_NO_LUC,,,,747.2218341,592.1109171,437,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC.xml,Southeast Asia,GHG,GHG_NO_LUC,,,,2648.443387,2613.403045,2578.362703,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC.xml,USA,GHG,GHG_NO_LUC_DEMAND,,,,5893.503443,4834.201722,3774.9,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,Africa_Eastern,nonCO2,ALL_GHG,,,,,880.3181858,998.8373524,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,Africa_Northern,nonCO2,ALL_GHG,,,,,1045.671403,1162.679958,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,Africa_Southern,nonCO2,ALL_GHG,,,,,653.4103983,587.205093,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,Africa_Western,nonCO2,ALL_GHG,,,,,1455.233588,1385.581013,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,Argentina,nonCO2,ALL_GHG,,,,,401.9143388,349,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,Australia_NZ,nonCO2,ALL_GHG,,,,,559.4280203,362,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,Brazil,nonCO2,ALL_GHG,,,,1689.550349,1432.775175,1176,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,Canada,nonCO2,ALL_GHG,,,,556.2328906,497.1164453,438,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,Central America and Caribbean,nonCO2,ALL_GHG,,,,,359.8988001,336.8569778,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,Central Asia,nonCO2,ALL_GHG,,,,,807.5459166,837.1278718,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,China,GHG,CO2_FFI,,,,11889.25382,12026.30127,12163.34872,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,Colombia,nonCO2,ALL_GHG,,,,245.350646,207.425323,169.5,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,EU,nonCO2,ALL_GHG,,,,3688.88673,2995.443365,2302,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,Europe_Eastern,nonCO2,ALL_GHG,,,,,514.4554728,479,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,Europe_Non_EU,nonCO2,ALL_GHG,,,,704.8070007,742.4035004,780,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,European Free Trade Association,nonCO2,ALL_GHG,,,,,436.8581541,312,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,India,nonCO2,ALL_GHG,,,,4081.51297,4858.200248,5634.887525,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,Indonesia,nonCO2,ALL_GHG,,,,1422.535839,1688.30587,1954.0759,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,Japan,nonCO2,ALL_GHG,,,,1254.795845,1007.397923,760,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,Mexico,nonCO2,ALL_GHG,,,,789.6861138,716.8430569,644,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,Middle East,nonCO2,ALL_GHG,,,,2975.848582,2790.188322,2604.528063,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,Russia,nonCO2,ALL_GHG,,,,2393.022665,2432.511332,2472,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,South Africa,nonCO2,ALL_GHG,,,,602.0734092,551.0367046,500,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,South America_Southern,nonCO2,ALL_GHG,,,,,561.6514076,479.5323977,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,South Asia,nonCO2,ALL_GHG,,,,469.4256244,526.1401942,582.854764,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,South Korea,nonCO2,ALL_GHG,,,,747.2218341,592.1109171,437,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,Southeast Asia,nonCO2,ALL_GHG,,,,,2613.403045,2578.362703,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,USA,nonCO2,GHG_NO_LUC_DEMAND,,,,5893.503443,4834.201722,3774.9,,,,,,,,,,,,,,
policy_GHG_constraint_post2030_CP_nonzero.xml,Argentina,GHG,ALL_GHG,,,,,,,509.3428936,527.2133264,535.5207368,539.4516943,542.1421457,543.4670255,542.876406,555.7899436,563.7279673,567.2118853,567.0443957,566.0015416,561.7316987,558.3511428
policy_GHG_constraint_post2030_CP_nonzero.xml,Australia_NZ,GHG,ALL_GHG,,,,,,,675.1332345,659.4948865,640.174331,620.8236534,597.4327024,575.0108223,554.0237894,534.4231504,511.0764272,487.5782194,467.0529561,447.6294907,428.9333133,413.3703035
policy_GHG_constraint_post2030_CP_nonzero.xml,Brazil,GHG,ALL_GHG,,,,,,,1986.309581,,,,,,,,,,,,,
policy_GHG_constraint_post2030_CP_nonzero.xml,Canada,GHG,ALL_GHG,,,,,,,542.453285,491.3233917,442.438276,397.699541,356.8352724,319.9589909,286.4857458,261.9500243,238.7731156,215.8781821,196.1043031,179.1461016,164.0201066,151.0715699
policy_GHG_constraint_post2030_CP_nonzero.xml,EU,GHG,ALL_GHG,,,,,,,1872.373635,1483.572548,1184.804987,947.7367053,757.2518396,604.6292608,483.3773201,386.8376712,309.1916195,245.8236846,195.6881199,156.3381324,125.0297528,100.2232073
policy_GHG_constraint_post2030_CP_nonzero.xml,Japan,GHG,ALL_GHG,,,,,,,918.6808185,828.2860217,741.3033748,661.9407578,588.5503456,526.0676635,475.2746422,430.409831,389.1100603,350.6744825,316.3609522,287.4504651,262.6795062,241.4360468
policy_GHG_constraint_post2030_CP_nonzero.xml,Russia,GHG,ALL_GHG,,,,,,,2578.514518,2674.509802,2735.141177,2773.887097,2787.608314,2829.131913,2933.64774,3065.017768,3188.958371,,,,,
policy_GHG_constraint_post2030_CP_nonzero.xml,South America_Southern,GHG,ALL_GHG,,,,,,,828.9586726,937.573156,1051.832668,1170.617719,,,,,,,,,,
policy_GHG_constraint_post2030_CP_nonzero.xml,South Korea,GHG,ALL_GHG,,,,,,,,,,539.3812535,481.5724412,431.5382587,381.8123275,346.6757382,312.2908901,277.3397902,246.3692836,222.2961788,197.3663441,178.5819302
policy_GHG_constraint_post2030_CP_nonzero.xml,USA,GHG,ALL_GHG,,,,,,,4951.589357,4693.516498,4393.179879,4107.780367,3836.848713,3585.356903,3341.351336,3074.727858,2809.83581,2554.61435,2328.343195,2126.682102,1944.044431,1785.768397
policy_GHG_constraint_2030_NDC_withCP.xml,Africa_Eastern,GHG,ALL_GHG,,,,,880.3181858,998.8373524,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Africa_Northern,GHG,ALL_GHG,,,,,1045.671403,1162.679958,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Africa_Southern,GHG,ALL_GHG,,,,,653.4103983,587.205093,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Africa_Western,GHG,ALL_GHG,,,,,1455.233588,1385.581013,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Argentina,GHG,ALL_GHG,,,,,401.9143388,349,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Australia_NZ,GHG,ALL_GHG,,,,,559.4280203,362,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Brazil,GHG,ALL_GHG,,,,1689.550349,1432.775175,1176,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Canada,GHG,ALL_GHG,,,,556.2328906,497.1164453,438,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Central America and Caribbean,GHG,ALL_GHG,,,,,359.8988001,336.8569778,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Central Asia,GHG,ALL_GHG,,,,,807.5459166,837.1278718,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,China,CO2,CO2_FFI,,,,11889.25382,12026.30127,12163.34872,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Colombia,GHG,ALL_GHG,,,,245.350646,207.425323,169.5,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,EU,GHG,ALL_GHG,,,,3688.88673,2995.443365,2302,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Europe_Eastern,GHG,ALL_GHG,,,,,514.4554728,479,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Europe_Non_EU,GHG,ALL_GHG,,,,704.8070007,742.4035004,780,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,European Free Trade Association,GHG,ALL_GHG,,,,,436.8581541,312,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,India,GHG,ALL_GHG,,,,4081.51297,4858.200248,5634.887525,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Indonesia,GHG,ALL_GHG,,,,1422.535839,1688.30587,1954.0759,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Japan,GHG,ALL_GHG,,,,1254.795845,1007.397923,760,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Mexico,GHG,ALL_GHG,,,,789.6861138,716.8430569,644,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Middle East,GHG,ALL_GHG,,,,2975.848582,2790.188322,2604.528063,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Russia,GHG,ALL_GHG,,,,2393.022665,2432.511332,2472,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,South Africa,GHG,ALL_GHG,,,,602.0734092,551.0367046,500,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,South America_Southern,GHG,ALL_GHG,,,,,561.6514076,479.5323977,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,South Asia,GHG,ALL_GHG,,,,469.4256244,526.1401942,582.854764,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,South Korea,GHG,ALL_GHG,,,,747.2218341,592.1109171,437,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Southeast Asia,GHG,ALL_GHG,,,,,2613.403045,2578.362703,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,USA,GHG,GHG_NO_LUC_DEMAND,,,,5893.503443,4834.201722,3774.9,,,,,,,,,,,,,,
policy_GHG_constraint_post2030_NDC.xml,Africa_Eastern,GHG,ALL_GHG,,,,,880.3181858,998.8373524,,,,,,,,,,,,,,
